CIUDAD,LATITUD,LONGITUD
Acapulco,16.84942,-99.90891
Cadereyta,25.58333,-99.98333
Campeche,19.84386,-90.52554
Cancún,21.17429,-86.84656
Chetumal,18.51413,-88.30381
Chihuahua,28.63528,-106.08889
Ciudad de México,19.42847,-99.12766
Ciudad del Carmen,18.64592,-91.82991
Ciudad Juárez,30.30982,-108.07852
Ciudad Obregon,27.48642,-109.94083
Ciudad Victoria,23.74174,-99.14599
Coatzacoalcos,18.14905,-94.4447
Colima,19.24997,-103.72714
Córdoba,18.8842,-96.92559
Cuernavaca,18.9261,-99.23075
Culiacan,24.79032,-107.38782
Durango,24.02032,-104.65756
El Triunfo,17.92241,-91.16946
Ensenada,31.87149,-116.60071
Gomez Palacio,25.56985,-103.49588
Guadalajara,20.66682,-103.39182
Hermosillo,29.1026,-110.97732
La Paz,24.14437,-110.3005
La Trinitaria,16.1214759,-92.0618762
Lázaro Cárdenas,19.48977,-100.4859
León,21.12908,-101.67374
Linares,24.85798,-99.56768
Los Mochis,25.79302,-108.99808
Manzanillo,19.11695,-104.34214
Matamoros,25.87972,-97.50417
Mazatlán,23.2329,-106.4062
Mérida,20.97537,-89.61696
Mexicali,32.62781,-115.45446
Monclova,26.90687,-101.42056
Monterrey,25.67507,-100.31847
Morelia,19.70078,-101.18443
Mulegé,26.89141,-111.9826
Nogales,31.30862,-110.94217
Nuevo Laredo,27.47629,-99.51639
Oaxaca,17.06542,-96.72365
Pachuca,20.08196854,-98.75340774
Paso del Norte,31.72024,-106.46084
Piedras Negras,28.70007,-100.52353
Poza Rica,20.53315,-97.45946
Puebla,19.03793,-98.20346
Puerto Escondido,15.87037,-97.07726
Puerto Vallarta,20.617,-105.23018
Quintana Roo,20.86946,-88.63153
Reynosa,26.08061,-98.28835
Saltillo,25.42321,-101.0053
San Fernando,24.84749,-98.14828
San Ignacio,27.28232,-112.89637
San Luis,22.14982,-100.97916
San Quintín,30.5711694,-115.9588544
Tampico,22.28519,-97.87777
Tepic,21.50951,-104.89569
Tijuana,32.5027,-117.00371
Tlaxcala,19.31905,-98.19982
Toluca,19.28786,-99.65324
Torreon,25.54389,-103.41898
Tuxtla Gutierrez,16.75973,-93.11308
Uruapan,19.41116,-102.05644
Veracruz,19.18095,-96.1429
Villahermosa,17.98689,-92.93028
Zacatecas,22.76843,-102.58141
